Count - point,direction,point,,,,,,,,,,,,,,,,,,,,,,
,c,,,,cc,,,,Total Result,c,c,c,c,cc,cc,cc,cc,totals,totals,totals,totals,totals,totals,
country,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,c,cc,country
IQ,1,53,,19,2,15,1,55,146,0.68%,36.30%,0.00%,13.01%,1.37%,10.27%,0.68%,37.67%,2.05%,46.58%,0.68%,50.68%,50.00%,50.00%,IQ
BA,3,7,1,4,3,117,,3,138,2.17%,5.07%,0.72%,2.90%,2.17%,84.78%,0.00%,2.17%,4.35%,89.86%,0.72%,5.07%,10.87%,89.13%,BA
GR,9,24,1,2,,89,2,7,134,6.72%,17.91%,0.75%,1.49%,0.00%,66.42%,1.49%,5.22%,6.72%,84.33%,2.24%,6.72%,26.87%,73.13%,GR
KW,12,39,3,3,3,42,1,29,132,9.09%,29.55%,2.27%,2.27%,2.27%,31.82%,0.76%,21.97%,11.36%,61.36%,3.03%,24.24%,43.18%,56.82%,KW
CO,1,24,2,2,,81,,8,118,0.85%,20.34%,1.69%,1.69%,0.00%,68.64%,0.00%,6.78%,0.85%,88.98%,1.69%,8.47%,24.58%,75.42%,CO
KZ,5,15,,1,,89,,5,115,4.35%,13.04%,0.00%,0.87%,0.00%,77.39%,0.00%,4.35%,4.35%,90.43%,0.00%,5.22%,18.26%,81.74%,KZ
QA,4,36,1,1,2,47,1,22,114,3.51%,31.58%,0.88%,0.88%,1.75%,41.23%,0.88%,19.30%,5.26%,72.81%,1.75%,20.18%,36.84%,63.16%,QA
CL,15,17,,1,1,72,,2,108,13.89%,15.74%,0.00%,0.93%,0.93%,66.67%,0.00%,1.85%,14.81%,82.41%,0.00%,2.78%,30.56%,69.44%,CL
DZ,1,40,1,1,1,17,,41,102,0.98%,39.22%,0.98%,0.98%,0.98%,16.67%,0.00%,40.20%,1.96%,55.88%,0.98%,41.18%,42.16%,57.84%,DZ
JO,5,30,,8,,11,,48,102,4.90%,29.41%,0.00%,7.84%,0.00%,10.78%,0.00%,47.06%,4.90%,40.20%,0.00%,54.90%,42.16%,57.84%,JO
BY,2,15,,2,,74,1,,94,2.13%,15.96%,0.00%,2.13%,0.00%,78.72%,1.06%,0.00%,2.13%,94.68%,1.06%,2.13%,20.21%,79.79%,BY
SI,5,11,,,,72,2,4,94,5.32%,11.70%,0.00%,0.00%,0.00%,76.60%,2.13%,4.26%,5.32%,88.30%,2.13%,4.26%,17.02%,82.98%,SI
PK,3,25,,,,51,,2,81,3.70%,30.86%,0.00%,0.00%,0.00%,62.96%,0.00%,2.47%,3.70%,93.83%,0.00%,2.47%,34.57%,65.43%,PK
PE,3,8,,,,52,,2,65,4.62%,12.31%,0.00%,0.00%,0.00%,80.00%,0.00%,3.08%,4.62%,92.31%,0.00%,3.08%,16.92%,83.08%,PE
ZZ,3,10,,1,,45,1,5,65,4.62%,15.38%,0.00%,1.54%,0.00%,69.23%,1.54%,7.69%,4.62%,84.62%,1.54%,9.23%,21.54%,78.46%,ZZ
KH,2,9,,,,49,,3,63,3.17%,14.29%,0.00%,0.00%,0.00%,77.78%,0.00%,4.76%,3.17%,92.06%,0.00%,4.76%,17.46%,82.54%,KH
